Agrobacterium  	2.92e-10
Bacillus_subtilis	3.28e-10
Burkhoderia cenocepacia HI2424	1.33e-10
Caulobacter crescentus NA1000	3.46e-10
Colwellia psychrerythraea 34H	8.38e-10
Deinococcus radiodurans BAA-816	4.99e-10
Escherichia_coli	2.23e-10
Flavobacterium sp.  KBS0721	3.91e-10
Kineococcus radiotolerans SRS30216	3.90e-10
Lactococcus lactis DSMZ20481	16.62e-10
Mesoplasma_florum	97.80e-10
Mycobacterium smegmatis MC2 155	5.27e-10
Rhodobacter sphaeroides ATCC17025	1.17e-10
Ruegeria pomeroyi DSS-3	1.39e-10
Staphylococcus aureus ATCC 25923	4.38e-10
Staphylococcus_epidermidis	7.40e-10
Teredinibacter turnerae T7901	11.40e-10
Vibrio fischeri ES114	2.07e-10
Vibrio_cholera	Unknown

Bacillus_anthracis	Unknown
Actinobacillus_pleuropneumoniae	Unknown
Acinetobacter_baumannii	Unknown
Aeromonas_hydrophila	Unknown
Aggregatibacter_actinomycetemcomitans	Unknown
Bacillus_amyloliquefaciens	Unknown
Bacillus_cereus	Unknown
Bacillus_coagulans	Unknown
Bacillus_licheniformis	Unknown
Test1	Unknown
Test2	Unknown
Test3	Unknown
Burkholderia_cenocepacia	Unknown
Deinococcus_radiodurans	Unknown
Agrobacterium_tumefaciens	Unknown
Teredinibacter_turnerae	Unknown
Rhodobacter_sphaeroides	Unknown
Colwellia_psychrerythraea	Unknown
Agrobacterium_vitis	Unknown
Mycobacterium_smegmatis	Unknown
Kineococcus_radiotolerans	Unknown
Vibrio_fischeri	Unknown
Caulobacter_crescentus	Unknown
Test_Spec	Unknown
Epibacterium_mobile	Unknown
Agrobacterium_rhizogenes	Unknown
Lactococcus_lactis	Unknown
Staphylococcus_aureus	Unknown
Novosphingobium_taihuense	Unknown
Phaeobacter_marinintestinus	Unknown
Methylobacterium_haplocladii	Unknown
Dermabacter_jinjuensis	Unknown
Zoogloea_oleivorans	Unknown
Tenacibaculum_adriaticum	Unknown
Naasia_lichenicola	Unknown
Cysteiniphilum_sp	Unknown
Marinobacter_halotolerans	Unknown
Fluviibacterium_aquatile	Unknown
Chitinophaga_flava	Unknown
Lactococcus_hircilactis	Unknown
Salinibacillus_xinjiangensis	Unknown
Janibacter_massiliensis	Unknown
Schaalia_hyovaginalis	Unknown
Thalassorhabdomicrobium_marinisediminis	Unknown
Protaetiibacter_intestinalis	Unknown
Arcobacter_peruensis	Unknown
Sansalvadorimonas_verongulae	Unknown
Acrocarpospora_macrocephala	Unknown
Asticcacaulis_tiandongensis	Unknown
Dorea_phocaeensis	Unknown
Mycetohabitans_endofungorum	Unknown
Elioraea_thermophila	Unknown
Tsukamurella_conjunctivitidis	Unknown
Francisella_opportunistica	Unknown
Leuconostoc_litchii	Unknown
Profundibacterium_mesophilum	Unknown
Parapedobacter_sp	Unknown
Saccharothrix_deserti	Unknown
